id,supermarket,name,price,reference_price,reference_unit
121011,carrefour-es,Magreta de Cerdo Adobada Fileteada ElPozo 350 g,2.35,6.71,kg
121012,carrefour-es,Torreznos de cerdo Carrefour 250 g,2.3,9.2,kg
121013,carrefour-es,Magro de cerdo marinado adobado Carrefour 500 g,3.5,7.0,kg
121014,carrefour-es,Filete de lomo de cerdo adobado extra 400 g aprox,3.9,9.75,kg
121015,carrefour-es,Preparado de carne picada de Vacuno (Añojo) Carrefour doble seno 900 g,5.99,6.66,kg
121016,carrefour-es,Preparado de carne picada mixta (Vacuno y Cerdo) Carrefour doble seno 900 g,5.8,6.44,kg
121018,carrefour-es,Carne picada de pollo Carrefour 400 g,2.99,2.99,ud
121019,carrefour-es,Albóndigas de cerdo Carrefour 400 g,1.99,1.99,ud
121021,carrefour-es,Preparado de Carne Picada de Cerdo Carrefour doble seno 900 g,4.6,5.11,kg
121022,carrefour-es,Carne picada de cerdo Ibérico Legado ElPozo 400 g,2.85,7.12,kg
121024,carrefour-es,Hamburguesa de vacuno Carrefour 6x90 g ,3.39,9.42,kg
121025,carrefour-es,Hamburguesa de vacuno Original Extremadura El Encinar de la Humienta 2x180 g,2.95,8.19,kg
121026,carrefour-es,Hamburguesa mixta vacuno y cerdo Carrefour 6x90 g,3.35,3.35,ud
121027,carrefour-es,Hamburguesa de pollo Carrefour 6x90 g,3.49,3.49,ud
121028,carrefour-es,Hamburguesa de vacuno mini El Encinar de Humienta 8x45 g,2.99,8.31,kg
121030,carrefour-es,Hamburguesa de vacuno Master de lomo Extremadura El Encinar de la Humienta 2x180 g,3.5,9.72,kg
121031,carrefour-es,Hamburguesas de pollo de corral sin gluten y sin lactosa Coren 2x125 g,2.9,11.6,kg
121033,carrefour-es,Hamburguesa de pavo y pollo sin lactosa Carrefour 6x90 g,3.5,6.48,kg
121034,carrefour-es,Hamburguesa de Vacuno Wagyu Finca Santa Rosalia (2x150g) 300 g,6.9,6.9,ud
121036,carrefour-es,Hamburguesa de cerdo Carrefour 6x90 g,2.5,0.42,ud
121037,carrefour-es,Mini hamburguesa de pollo sin gluten y sin lactosa 200 g,1.5,7.5,kg
121038,carrefour-es,Hamburguesa de pollo con queso sin gluten y sin lactosa 360 g,2.95,8.19,kg
121039,carrefour-es,Hamburguesa de pollo sin gluten y sin lactosa 360 g,3.0,8.33,kg
121040,carrefour-es,Hamburguesa de vacuno pata negra 2x150 gr ,4.2,14.0,kg
121041,carrefour-es,Longaniza blanca fresca La Nuncia 500 g,2.68,5.36,kg
121042,carrefour-es,Chorizo oreado La Nuncia 320 g,1.98,6.19,kg
121043,carrefour-es,Morcilla de Burgos Embutidos Ríos 660 g,2.58,4.3,kg
121044,carrefour-es,Salchichas frescas de pollo de corral Coren 350 g,4.3,12.29,kg
121045,carrefour-es,Longaniza blanca de cerdo fresca ElPozo 650 g,3.25,5.0,kg
