id,supermarket,name,price,reference_price,reference_unit
1076917,dia-es,Gambón crudo bolsa (peso aprox. 500 gr),4.5,8.99,€/Kg.
1076918,dia-es,Langostino cocido bolsa (peso aprox. 500 gr),4.48,8.95,€/Kg.
1076919,dia-es,Mejillón 40/50 piezas malla (peso aprox. 1 Kg),1.95,1.95,€/Kg.
1076920,dia-es,PESCANOVA palitos del mar reducido en sal paquete 12 uds 300 gr,2.19,7.18,€/Kg.
1076921,dia-es,AGUINAMAR colas de langostino al ajillo envase 105 gr,2.5,23.81,€/Kg.
1076922,dia-es,LA GULA DEL NORTE bandeja 220 gr,5.95,27.05,€/Kg.
1076923,dia-es,PESCANOVA anguriñas bandeja 200 gr,2.19,10.95,€/Kg.
1076948,dia-es,TERRANOVA medio pulpo cocido (peso aprox. 455 gr),12.72,27.95,€/Kg.
1076949,dia-es,AGUINAMAR pata de pulpo bandeja 200 gr,7.75,38.75,€/Kg.
1076981,dia-es,DIA gulas al ajillo con gambas envase 250 gr,2.69,10.76,€/Kg.
1076982,dia-es,KRISSIA palitos de surimi paquete 16 uds 266 gr,3.75,14.1,€/Kg.
1076985,dia-es,CLAROS boquerones en vinagre envase 110g,3.49,31.73,€/Kg.
1076986,dia-es,ROYAL salmón ahumado envase 80 gr,4.59,57.37,€/Kg.
1076987,dia-es,Anchodinas envase 50 gr,1.39,27.8,€/Kg.
1076988,dia-es,ROYAL lomo de salmón ahumado sobre 100 gr,5.65,56.5,€/Kg.
1076989,dia-es,ART MORHUA bacalao desmigado desalado skrei bandeja 250 gr,4.35,17.4,€/Kg.
1076990,dia-es,DIMAR filetón de bacalao salado gadus morhua bolsa 800 gr,9.49,11.86,€/Kg.
1077010,dia-es,Lomo de salmón unidad (peso aprox. 300 gr),3.89,12.95,€/Kg.
1077019,dia-es,Manzana golden unidad (260 gr aprox.),0.41,1.59,€/Kg.
1077020,dia-es,"Manzana  roja bolsa 1,5 kg",2.09,1.39,€/Kg.
1077021,dia-es,Manzana granny unidad (230 gr aprox.),0.41,1.79,€/Kg.
1077022,dia-es,Pera conferencia cesta 1 Kg,1.79,1.79,€/Kg.
1077023,dia-es,Manzana royal gala bio bandeja (1 Kg aprox.),3.99,3.99,€/Kg.
1077024,dia-es,Manzana golden bio bandeja 4 uds (800 gr aprox.),2.39,2.99,€/Kg.
1077025,dia-es,Pera limonera unidad (320 gr aprox.),0.64,1.99,€/Kg.
1077026,dia-es,Manzana golden bolsa 1.5 Kg,1.95,1.3,€/Kg.
1077027,dia-es,Manzana royal gala unidad (280 gr aprox.),0.7,2.49,€/Kg.
1077028,dia-es,Manzana roja unidad (220 gr aprox.),0.37,1.69,€/Kg.
1077029,dia-es,Pera conferencia unidad (230 gr aprox.),0.46,1.99,€/Kg.
1077030,dia-es,Manzana evelina unidad (210 gr aprox.),0.48,2.29,€/Kg.
1077031,dia-es,Banana unidad (220 gr aprox.),0.28,1.29,€/Kg.
1077032,dia-es,Plátano para freír unidad (260 gr aprox.),0.51,1.95,€/Kg.
1077033,dia-es,Plátano bio bandeja (1.1 Kg aprox.),3.07,2.79,€/Kg.
1077034,dia-es,Plátano de Canarias bolsa (1.4 Kg aprox.),2.79,1.99,€/Kg.
1077035,dia-es,Kiwi cesta 1 Kg,3.59,3.59,€/Kg.
1077036,dia-es,Aguacate unidad (210 gr aprox.),0.92,4.39,€/Kg.
1077037,dia-es,Piña unidad (2.6 Kg aprox.),3.09,1.19,€/Kg.
1077038,dia-es,Papaya de primera unidad (1.6 Kg aprox.),7.18,4.49,€/Kg.
1077039,dia-es,Piña natural en rodajas tarrina 450 gr,2.25,5.0,€/Kg.
1077040,dia-es,Aguacate bio bandeja 400 gr,3.19,7.98,€/Kg.
1077041,dia-es,Kiwi unidad (120 gr aprox.),0.36,2.99,€/Kg.
1077042,dia-es,Aguacate bandeja 3/4 piezas,1.89,3.78,€/Kg.
1077043,dia-es,Mango unidad (650 gr aprox.),1.85,2.85,€/Kg.
1077044,dia-es,Uva blanca sin semilla bandeja 500 gr,1.99,3.98,€/Kg.
1077045,dia-es,Uva roja sin semilla bandeja 500 gr,2.39,4.78,€/Kg.
1077046,dia-es,MILKA helado bombón 66 gr,2.0,30.3,€/Kg.
1077047,dia-es,Ciruela roja unidad (160 gr aprox.),0.41,2.55,€/Kg.
1077048,dia-es,Melón piel de sapo unidad (5 Kg aprox.),3.45,0.69,€/Kg.
1077049,dia-es,Paraguaya unidad (160 gr aprox.),0.4,2.49,€/Kg.
1077050,dia-es,Sandía rayada unidad (10 Kg aprox.),5.5,0.55,€/Kg.
1077051,dia-es,Sandía negra unidad (10 Kg aprox.),6.5,0.65,€/Kg.
1077052,dia-es,Melocotón rojo unidad (220 gr aprox.),0.39,1.79,€/Kg.
1077053,dia-es,Nectarina unidad (320 gr aprox.),0.48,1.49,€/Kg.
1077054,dia-es,Albaricoque unidad (75 gr aprox.),0.22,2.99,€/Kg.
1077055,dia-es,Cereza bandeja 500 gr,2.49,4.98,€/Kg.
1077056,dia-es,Fresón tarrina 250 gr,1.49,5.96,€/Kg.
1077057,dia-es,Melón galia unidad (1.6 Kg aprox.),2.54,1.59,€/Kg.
1077058,dia-es,Melón amarillo peso (2.9 Kg aprox.),4.61,1.59,€/Kg.
1077059,dia-es,Melón selección unidad (5.6 Kg aprox.),10.58,1.89,€/Kg.
1077060,dia-es,Melocotón amarillo cesta 1 Kg,2.29,2.29,€/Kg.
1077061,dia-es,Nectarina bandeja 1 Kg,2.29,2.29,€/Kg.
1077062,dia-es,Paraguaya cesta 1 kg,2.19,2.19,€/Kg.
1077063,dia-es,Melocotón amarillo unidad (180 gr aprox.),0.48,2.65,€/Kg.
1077064,dia-es,Ciruela amarilla unidad (63 gr aprox.),0.18,2.89,€/Kg.
1077065,dia-es,Frambuesas tarrina 125 gr,1.65,13.2,€/Kg.
1077066,dia-es,Dátil natural en rama bandeja 200 gr,1.29,6.45,€/Kg.
1077067,dia-es,Arándanos tarrina 250 gr,2.85,11.4,€/Kg.
1077068,dia-es,FLORETTE espinacas bolsa 125 gr,1.69,13.52,€/Kg.
1077069,dia-es,Puerro manojo 500 gr,1.59,1.59,€/ud.
1077070,dia-es,Cebolla malla 2 Kg,1.69,0.85,€/Kg.
1077071,dia-es,Puerro bandeja 450 gr,1.69,3.76,€/Kg.
1077072,dia-es,Ajo morado malla 250 gr,1.29,5.16,€/Kg.
1077073,dia-es,Cebolla dulce unidad (600 gr aprox.),1.19,1.99,€/Kg.
1077074,dia-es,Cebolla morada malla 500 gr,1.15,2.3,€/Kg.
1077075,dia-es,Cebollita francesa malla 500 gr,1.09,2.18,€/Kg.
1077076,dia-es,Cebolla tierna manojo 350 gr,1.15,3.29,€/Kg.
1077077,dia-es,TREVIJANO alga wakame 100% natural bandeja 50 gr,1.99,39.8,€/Kg.
1077078,dia-es,Coliflor pieza 1 ud,1.99,1.99,€/ud.
1077079,dia-es,Repollo rizado unidad (1.4 Kg aprox),1.53,1.09,€/Kg.
1077080,dia-es,Repollo liso unidad (2.4 Kg aprox.),2.38,0.99,€/Kg.
1077081,dia-es,Lombarda unidad (2.5 Kg aprox.),2.97,1.19,€/Kg.
1077082,dia-es,Brócoli pieza 500 gr,1.39,2.78,€/Kg.
1077083,dia-es,Calabacín unidad (450 gr aprox.),0.63,1.39,€/Kg.
1077084,dia-es,Calabaza dados al vacío 400 gr,1.39,3.47,€/Kg.
1077085,dia-es,Calabacín bio bandeja 600 gr,1.99,3.32,€/Kg.
1077086,dia-es,Spaguetti de calabacín bandeja 200 gr,1.59,7.95,€/Kg.
1077087,dia-es,Calabaza (1.9 Kg aprox.),2.26,1.19,€/Kg.
1077088,dia-es,Calabacín redondo unidad (390 gr aprox.),0.78,1.99,€/Kg.
1077089,dia-es,Champiñón laminado bandeja 250 gr,1.25,5.0,€/Kg.
1077090,dia-es,Setas cultivadas bandeja 400 gr,2.19,5.48,€/Kg.
1077091,dia-es,Setas bandeja 200 gr,1.79,8.95,€/Kg.
1077092,dia-es,Champiñones bandeja 250 gr,1.29,5.16,€/Kg.
1077093,dia-es,Mix de setas bandeja 150 g,2.09,13.93,€/Kg.
1077094,dia-es,Seta de cardo bandeja (300 gr aprox.),4.13,13.75,€/Kg.
1077095,dia-es,Setas laminadas bandeja 200 gr,1.0,5.0,€/Kg.
1077096,dia-es,Champiñón pie de tierra cortado bandeja (300 gr aprox.),1.17,3.89,€/Kg.
1077097,dia-es,Espárrago verde 250 g,2.49,9.96,€/Kg.
1077098,dia-es,Judía verde malla 500 gr,1.65,3.3,€/Kg.
1077099,dia-es,Cogollos bandeja 3 uds,0.99,0.33,€/ud.
1077100,dia-es,Lechuga iceberg pieza 1 ud,0.69,0.69,€/ud.
1077101,dia-es,Escarola pieza 1 ud,1.45,1.45,€/ud.
1077102,dia-es,Corazones de cogollos 6 uds,1.79,0.3,€/ud.
1077103,dia-es,Corazones de lechuga romana bandeja 2 uds,1.59,0.8,€/ud.
1077104,dia-es,Endivias bandeja 350 gr,0.99,2.83,€/Kg.
1077105,dia-es,SUN&VEGS lechuga hoja de roble roja bolsa 1 ud,1.19,1.19,€/ud.
1077106,dia-es,Patata unidad (450 gr aprox.),0.67,1.49,€/Kg.
1077107,dia-es,Patata roja malla 2 kg,2.49,1.25,€/Kg.
1077108,dia-es,Patata lavada malla 3 Kg,3.89,1.3,€/Kg.
1077109,dia-es,Patata guarnición malla 1 kg,1.69,1.69,€/Kg.
1077110,dia-es,Patata lavada malla 5 Kg,4.99,1.0,€/Kg.
1077111,dia-es,Patata kennebec bolsa 3 Kg,3.89,1.3,€/Kg.
1077112,dia-es,Patata especial microondas bolsa 400 gr,0.99,2.47,€/Kg.
1077113,dia-es,Boniato unidad (600 gr aprox.),1.31,2.19,€/Kg.
1077114,dia-es,Patatas especial para freir malla 2 Kg,2.49,1.25,€/Kg.
1077115,dia-es,Pepino holandés pieza 400 gr,0.75,2.31,€/Kg.
1077116,dia-es,Pepino español unidad (260 gr aprox.),0.26,0.99,€/Kg.
1077117,dia-es,Pimiento italiano unidad (150 gr aprox.),0.27,1.79,€/Kg.
1077118,dia-es,Pimiento tipo padrón bolsa 200 gr,0.89,4.45,€/Kg.
1077119,dia-es,Pimiento verde unidad (380 gr aprox.),0.87,2.29,€/Kg.
1077120,dia-es,Pimientos tres colores bolsa 500 gr,1.49,2.98,€/Kg.
1077121,dia-es,Pimiento rojo unidad (390 gr aprox.),0.82,2.09,€/Kg.
1077122,dia-es,Tomate en rama unidad (190 gr aprox.),0.32,1.69,€/Kg.
1077123,dia-es,Tomate ensalada unidad (390 gr aprox.),0.66,1.69,€/Kg.
1077124,dia-es,Tomate maduro unidad (120 gr aprox.),0.15,1.29,€/Kg.
1077125,dia-es,Tomate cherry en rama cesta 300 gr,1.49,4.97,€/Kg.
1077126,dia-es,Tomate pera unidad (190 gr aprox.),0.3,1.59,€/Kg.
1077127,dia-es,Tomate rosa unidad (peso aprox. 690 gr),2.06,2.99,€/Kg.
