id,supermarket,name,price,reference_price,reference_unit
248948,mercadona-es,Calabaza cacahuete cortada a trozos,1.71,3.1,kg
248949,mercadona-es,Apio verde,1.42,2.15,kg
248950,mercadona-es,Verdura para cocido,1.13,1.26,kg
248951,mercadona-es,Espárrago verde fino,2.15,8.6,kg
248952,mercadona-es,Rabanitos,1.1,4.4,kg
248953,mercadona-es,Remolacha cocida y pelada,0.75,1.67,kg
248954,mercadona-es,Acelgas,1.8,2.25,kg
248955,mercadona-es,Nabicol,0.85,3.4,kg
248956,mercadona-es,Maíz dulce en mazorca cocido,1.1,2.75,kg
248957,mercadona-es,Calabaza cacahuete,1.59,1.25,kg
248958,mercadona-es,Media calabaza cacahuete,1.01,1.55,kg
248959,mercadona-es,Chirivía,0.68,3.4,kg
248960,mercadona-es,Bimi,1.99,9.95,kg
248961,mercadona-es,Nabo,0.78,3.4,kg
248962,mercadona-es,Espárrago verde grueso,2.99,9.97,kg
248963,mercadona-es,Maíz dulce,1.99,1.0,ud
248964,mercadona-es,Floretas de brócoli para micro,1.2,5.22,kg
248965,mercadona-es,Mix de verduras paisana,1.35,4.5,kg
248966,mercadona-es,Sopa juliana para micro,1.15,2.88,kg
248967,mercadona-es,Patata para micro,1.1,2.75,kg
248968,mercadona-es,Batata para micro,1.8,4.5,kg
248969,mercadona-es,Mix de verduras jardinera,1.45,3.63,kg
248970,mercadona-es,Calamar pequeño sin limpiar descongelado,0.24,5.95,kg
248971,mercadona-es,Calamar pequeño limpio descongelado sin barquilla y sin tripa,0.24,5.95,kg
248972,mercadona-es,Calamar mediano sin limpiar descongelado,1.09,9.95,kg
248973,mercadona-es,Calamar mediano limpio descongelado sin barquilla y sin tripa,1.09,9.95,kg
248974,mercadona-es,Calamar grande sin limpiar descongelado,4.0,12.5,kg
248975,mercadona-es,Calamar grande limpio descongelado sin barquilla y sin tripa,4.0,12.5,kg
248976,mercadona-es,Sepia descongelada,7.77,10.95,kg
248977,mercadona-es,Tiras de potón descongeladas,589.05,5.95,kg
248978,mercadona-es,Boquerón sin limpiar,0.99,4.95,kg
248979,mercadona-es,Boquerón limpio,0.99,4.95,kg
248980,mercadona-es,Sardina sin limpiar,1.39,6.95,kg
248981,mercadona-es,Sardina limpia,1.74,6.95,kg
248982,mercadona-es,Morralla,688.05,6.95,kg
248983,mercadona-es,Lenguado sin cabeza y sin piel,2.37,16.95,kg
248984,mercadona-es,Lenguado sin limpiar,2.37,16.95,kg
248985,mercadona-es,Corvina limpia con cabeza,10.41,7.95,kg
248986,mercadona-es,Corvina abierta a la espalda con espinas y con cabeza,10.41,7.95,kg
248987,mercadona-es,Corvina a filetes sin cabeza y sin espina,10.41,7.95,kg
